covid-19,"[0.7468701135601329, 0.5538463671829794]"
sars-cov-2,"[0.11892975528333964, 0.5888078925931829]"
nfl,"[0.21384480095036063, 0.5994947317727745]"
scott morrison,"[0.6646032899566293, 0.3174747157331081]"
pollution,"[-0.033502304991345246, 0.5027885035915542]"
daesh,"[0.5654263720629514, -0.02898855178262244]"
pakistan army,"[0.6541666666666666, -0.03797468354430382]"
hitler,"[-0.02339541354478655, 0.7027283689263069]"
