covid-19,"[0.7170883153799792, 0.6788800075305582]"
cristiano ronaldo,"[-0.047743967191884805, 0.5712081690404266]"
sam bankman-fried,"[0.7027819284987272, nan]"
fia,"[-0.023416699476087467, 0.8148431084695213]"
matt lauer,"[0.6636625827793496, -0.022304986837273534]"
sars-cov-2,"[-0.03535810151892135, 0.698212002188447]"
