ted cruz,"[0.5281772118763185, 0.2900962670491372]"
indian people,"[0.5288864932554189, -0.034330628510593465]"
breonna taylor,"[0.5308175402982166, -0.03081180112566604]"
jacob blake,"[0.6873451128270646, -0.020721711149832664]"
huawei,"[0.6636625827793495, -0.02230498683727353]"
aung san suu kyi,"[-0.028831940416443363, 0.5027885035915542]"
oakland athletics,"[0.5702659485122009, -0.021652326748721036]"
ruth bader ginsburg,"[1.0, -0.01234567901234568]"
