covid-19,"[0.7286204207222192, 0.5158527951363303]"
chandra shekhar,"[0.6513584067171829, 0.7374800188190973]"
prof chandra shekhar,"[0.28108423111661845, 0.5283868332192816]"
russian warplane,"[0.5007518796992482, 0.0632140137090633]"
supreme court,"[0.5007518796992482, 0.06321401370906322]"
proud boys,"[0.524355300859599, 0.2859216255442671]"
bihar education minister prof chandra shekhar,"[0.4610389610389611, 0.5155145946859749]"
