covid-19,"[0.7195033582138821, 0.5558139507187017]"
nicolás maduro,"[0.5845993026284332, -0.04947115665100943]"
elon musk,"[0.7287268352728468, 0.3134527791121921]"
nra,"[0.3307679201682778, 0.6966878041088421]"
draymond green,"[0.6845257226830451, -0.030515617292870577]"
delta variant,"[0.67954269666673, -0.02136674094708365]"
hamas,"[-0.02925926433771324, 0.6645804049346394]"
liz truss,"[0.2683985943336796, 0.5652767597611373]"
monkeypox,"[0.8148629450829783, -0.02037107771173803]"
hurricane ian,"[1.0, -0.012345679012345678]"
