north korea,"[0.6523229246001523, 0.2723765432098764]"
india,"[0.5139555836084683, 0.15199897224650877]"
covid-19 patients,"[0.2578155966122688, 0.5589746567448712]"
meghan markle,"[0.705071620736634, -0.026773977630083302]"
huma abedin,"[-0.01548249194350598, 0.9482979946543382]"
