jamal khashoggi,"[0.560649940347139, 0.40536888795807324]"
australia,"[-0.0408772260166509, 0.5758230960636608]"
federal employees,"[0.7540177231300165, -0.023710533320906668]"
jared kushner,"[-0.022030293204293776, 0.663573358408888]"
new york city,"[0.5702659485122008, -0.021652326748721043]"
dogs,"[-0.020120072718098223, 0.8148431084695211]"
