joe biden,"[0.5949136277274889, 0.4907316425612447]"
hillary clinton,"[0.7739351114098167, 0.48062947016349566]"
alexandria ocasio-cortez,"[0.517993328145127, 0.39932791652006644]"
stacey abrams,"[-0.05437626822461033, 0.70921686122984]"
john kasich,"[0.6001975493734262, 0.5704950722604023]"
michael cohen,"[-0.02816778635572112, 0.659424748059224]"
ben carson,"[0.5488168737360438, 0.3174747157331081]"
herschel walker,"[0.25867801692017356, 0.5487456284497819]"
andrew gillum,"[0.2578155966122689, 0.5589746567448711]"
newt gingrich,"[0.3905058974805352, 0.8113774296425393]"
