joe biden.donald trump,"[0.5901271555989633, 0.6516005175452684]"
hillary clinton.donald trump,"[0.6703370852467552, 0.6267625305874972]"
bernie sanders.hillary clinton,"[0.3749583312685375, 0.5783151279157971]"
none.sean spicer,"[0.5265613649228039, 0.5264625073333487]"
