covid-19,"[0.8122889860576477, 0.6568057754756217]"
mitch mcconnell,"[0.052137186069913535, 0.5551083248096357]"
monkeypox,"[0.4527845307192425, 0.6966878041088423]"
sam bankman-fried,"[1.0, nan]"
the government,"[-0.0375, 0.6540084388185653]"
bcci,"[0.8148629450829784, -0.020371077711738027]"
cold weather,"[0.6238776945276411, -0.023687491569557455]"
