neil gorsuch,"[0.2712978681000512, 0.5714630769430153]"
antónio guterres,"[-0.04386344633065126, 0.5627314338711378]"
andrew mccabe,"[-0.033320007994670414, 0.5196064785314717]"
juan guaido,"[0.6009733617070573, -0.03081180112566604]"
jen psaki,"[0.5197921247168582, -0.033740680424121504]"
woman,"[-0.030429030972509236, 0.8113774296425392]"
bradley beal,"[0.8148629450829783, -0.02037107771173803]"
healthcare workers,"[0.623877694527641, -0.023687491569557455]"
