covid-19,"[0.6965477549876417, 0.6767379224277471]"
hillary clinton,"[0.7170401553730833, -0.030378691558093293]"
cristiano ronaldo,"[0.2712978681000512, 0.5714630769430155]"
modi government,"[0.5362045843382509, -0.027490272741626822]"
united airlines,"[0.5702659485122011, -0.021652326748721036]"
