covid-19,"[0.7484977450869268, 0.5117302608344482]"
apple,"[0.5092905757051835, -0.09584657383232364]"
hiv,"[0.5197921247168583, -0.03374068042412153]"
centre,"[0.7540177231300166, -0.023710533320906665]"
steve bannon,"[-0.014831376610579821, 0.96996996996997]"
stress,"[0.8114408259335797, -0.030811801125666054]"
jacob zuma,"[-0.02138497306920754, 0.7027283689263069]"
iranian authorities,"[0.570265948512201, -0.021652326748721033]"
delta variant,"[0.7027819284987274, -0.01756820922315766]"
