joe biden,"[0.5878704745863647, 0.5332345217812482]"
hillary clinton,"[0.5498241228109201, 0.3351550841957697]"
robert mueller,"[0.5641270837292592, 0.04783603248657643]"
amber heard,"[0.5077203938867786, -0.022632398521418212]"
sean hannity,"[0.7050716207366342, -0.026773977630083306]"
devin nunes,"[-0.020549179195869224, 0.6616218662079388]"
simone biles,"[0.7540177231300166, -0.02371053332090666]"
mary trump,"[0.9042248064222365, -0.01875977815147707]"
raphael warnock,"[0.8114408259335794, 0.4875000000000001]"
