covid-19,"[0.6677418881661091, 0.5239513849159504]"
bernie sanders,"[0.6257602483597641, -0.051514008348893185]"
ted cruz,"[-0.030871561353262987, 0.5383672879339023]"
pandemic,"[-0.028096650130739306, 0.5547578705742072]"
