none.none,"[0.5242685454094942, 0.4081198718941481]"
joe biden.donald trump,"[0.6045178487435813, 0.4745948637443734]"
none.hillary clinton,"[0.3398575791216562, 0.5462255806978429]"
hillary clinton.donald trump,"[0.5274325639211374, 0.42128195985082406]"
joe biden.none,"[0.5772049841360511, 0.2762677420537782]"
none.ted cruz,"[0.57036567525794, 0.19783408597624194]"
bernie sanders.hillary clinton,"[0.7811235728275648, 0.39581706248392745]"
anthony fauci.donald trump,"[0.11352025845696972, 0.522901442366296]"
bernie sanders.none,"[0.28336815386591946, 0.5135367895745885]"
none.bernie sanders,"[0.6220008927626689, -0.06140377126253599]"
ted cruz.donald trump,"[0.560463505763983, 0.9527131637009477]"
none.marco rubio,"[0.7566830490402301, -0.027466643038581925]"
none.kevin mccarthy,"[0.5488168737360438, -0.03186264939385831]"
hillary clinton.none,"[-0.03180569855981509, 0.6300169225433491]"
amber heard.johnny depp,"[0.5973561329671738, -0.02663060389880725]"
luis diaz.none,"[1.0, -0.012345679012345678]"
none.sam bankman-fried,"[1.0, nan]"
