hillary clinton.donald trump.none,"[0.7630204551201692, 0.6025055723798256]"
anushka sharma.none.none,"[-0.028831940416443363, 0.5027885035915544]"
kylian mbappe.none.none,"[-0.021384973069207534, 0.5701779377163204]"
rishi sunak.none.none,"[-0.024849034773521315, 0.5701779377163204]"
