joe biden,"[0.5269142777633636, 0.54730824633561]"
adama barrow,"[0.5654263720629515, -0.028988551782622433]"
who,"[0.8624541497922235, -0.02898855178262243]"
urjit patel,"[-0.020120072718098226, 0.8148431084695213]"
jeff sessions,"[0.5702659485122009, -0.021652326748721043]"
