joe biden,"[0.5476344699717594, 0.7465270326569899]"
hillary clinton,"[0.4507412438450122, 0.5294858373536611]"
anthony fauci,"[0.17032852447922298, 0.6809017566065577]"
nikki haley,"[0.590033528560491, 0.5898694850470497]"
chris paul,"[0.8981421706658801, -0.02015784925609502]"
michael gove,"[0.942826784734918, -0.017568209223157653]"
andrew gillum,"[0.6983225049986964, 0.33120312924323764]"
cassidy hutchinson,"[0.8299703822290432, -0.017218770204826216]"
