joe biden,"[0.5097998096076326, 0.3935244039891274]"
nancy pelosi,"[0.377967312912707, 0.5987329766527731]"
anthony fauci,"[0.5439934285213773, 0.2251854158474766]"
chris pratt,"[-0.03332000799467041, 0.5196064785314717]"
harry roque,"[-0.026440185777623772, 0.7050480775921937]"
john fetterman,"[0.5592056602575971, 0.25742253929040126]"
tony evers,"[0.6238776945276411, -0.023687491569557448]"
jacob zuma,"[-0.021384973069207537, 0.5701779377163204]"
mohamed salah,"[0.30024114049142736, 0.6237706113316795]"
emergency services,"[-0.02339541354478655, 0.6237706113316795]"
