none.none,"[0.595933110072523, 0.3598385813358894]"
hillary clinton.donald trump,"[0.1844564977661801, 0.5282504474033378]"
ted cruz.donald trump,"[0.6368920339136828, 0.09062574327906447]"
none.huawei,"[-0.012195121951219513, 0.9999999999999999]"
