donald trump,"[0.5442246529771906, 0.4711294415871419]"
covid-19,"[0.6521884240274124, 0.6448312224110695]"
isis,"[0.2165346947607722, 0.5612081892096461]"
theresa may,"[0.20323734773057822, 0.5930599727405127]"
paul ryan,"[-0.038423273286676024, 0.686468736266142]"
david cameron,"[0.6525962981530438, 0.4248672497234522]"
josh hawley,"[0.8956155812584966, 0.20711478565350563]"
huawei,"[0.9623498035450121, -0.01671577744294029]"
mother nature,"[0.9042248064222368, -0.018759778151477065]"
