joe biden.donald trump,"[0.6757468028465592, 0.3506171639800612]"
hillary clinton.donald trump,"[0.5404429730082787, 0.21508629843938565]"
none.sean spicer,"[0.5265613649228039, -0.026998077299146078]"
lady gaga.none,"[0.7050716207366341, -0.026773977630083306]"
novak djokovic.none,"[-0.02138497306920754, 0.5701779377163204]"
andrew cuomo.donald trump,"[0.5702659485122009, -0.021652326748721036]"
keith ellison.derek chauvin,"[0.570265948512201, -0.021652326748721033]"
