covid-19,"[0.6622574229212455, 0.6250879424645394]"
nicolás maduro,"[0.5039200228489539, 0.41171622681751574]"
recep tayyip erdogan,"[0.5281772118763183, 0.33637882637197486]"
nra,"[0.3973714361824401, 0.8148431084695215]"
government of india,"[0.5197921247168584, -0.033740680424121525]"
tristan thompson,"[0.5592056602575974, 0.25742253929040115]"
cricket australia,"[0.5654263720629515, 0.5652767597611376]"
ohio state,"[0.7027819284987276, -0.017568209223157667]"
bcci,"[-0.02012007271809823, 0.8148431084695215]"
