hillary clinton.donald trump,"[0.5158403181204287, 0.3529391721641306]"
mark zuckerberg.none,"[0.5973561329671738, -0.026630603898807257]"
nancy pelosi.mitch mcconnell,"[-0.020120072718098223, 0.8148431084695215]"
dolly parton.none,"[-0.021384973069207534, 0.5701779377163206]"
