joe biden,"[-0.1369031896042883, 0.557189704225397]"
hillary clinton,"[-0.050783784117862725, 0.5981487798287481]"
mitch mcconnell,"[-0.01936078687030958, 0.6273018235794092]"
joel embiid,"[-0.011076567793516252, 0.9138227573185855]"
volodymyr zelensky,"[-0.022507034547615996, 0.6477575279220498]"
giannis antetokounmpo,"[-0.018321144496573783, 0.7465657990663468]"
juan guaidó,"[-0.008545136050864478, 0.9428133967505041]"
