joe biden,"[0.5292463996843558, 0.4061441734231531]"
xtream1101,"[0.6788478073946689, 0.1789290378754898]"
archive team,"[0.6035031847133755, 0.33870967741935487]"
wayback machine,"[0.737341772151899, 0.4743589743589743]"
