none.joe biden,"[0.4837107065190808, 0.5336701023727644]"
none.north korea,"[0.1872898112548753, 0.5630440364771665]"
none.bernie sanders,"[-0.0333200079946704, 0.5196064785314716]"
virat kohli.none,"[-0.043863446330651264, 0.5627314338711379]"
joe biden.americans,"[0.2578155966122687, 0.5589746567448715]"
scott morrison.none,"[-0.03042903097250923, 0.811377429642539]"
