bernie sanders.hillary clinton.none,"[0.562914227910025, 0.6087807775281011]"
hillary clinton.donald trump.none,"[0.15539632688431707, 0.871967127227265]"
none.donald trump.james comey,"[0.6729248872927808, -0.023786968311070487]"
none.donald trump.migrants,"[0.6616835701069889, -0.020805719063142738]"
none.ted cruz.none,"[0.7027819284987276, 0.7027283689263071]"
bill palmer.donald trump.none,"[-0.01735264020984512, 0.7027283689263067]"
