joe biden,"[0.5974130962004851, 0.5193434935521689]"
spencer rattler,"[0.4713375796178345, 0.5232558139534885]"
nancy pelosi,"[0.6121495327102805, 0.4324225865209471]"
nawazuddin siddiqui,"[0.6437768240343349, 0.37608695652173896]"
