covid-19,"[0.7601235208254312, 0.6422024020641722]"
isis,"[0.5715355004600143, 0.4797434228066648]"
pakistan,"[0.6059213063942471, -0.07935094606372228]"
hillary clinton,"[0.5842360594250682, -0.051682980006910954]"
pandemic,"[0.5186979400082378, 0.10489500624917059]"
samsung,"[0.6556016597510377, -0.03361344537815128]"
victorian government,"[-0.02351440927669924, 0.6269841269841273]"
protesters,"[-0.02046685199485055, 0.68727008646945]"
nick kyrgios,"[0.6636625827793496, -0.022304986837273534]"
new york times,"[-0.016441873849030335, 0.8933284808851835]"
