covid-19,"[0.6341062217075482, 0.5408975912200685]"
isis,"[0.5524628504506524, 0.47115128170706166]"
nicolás maduro,"[0.6394787644787641, 0.27823960880195586]"
joe biden,"[0.5010020040080161, 0.33401015228426406]"
driver,"[-0.07020057306590255, 0.523947750362845]"
