hydriz.none,"[0.538888888888889, 0.27258064516129027]"
xtream1101.none,"[0.532657657657658, 0.06499429874572407]"
none.covid-19,"[0.5018625827814569, 0.3804826862539349]"
none.north korea,"[0.21854047843456892, 0.5320468930483303]"
archive team.none,"[0.6035031847133755, 0.33870967741935487]"
