covid-19,"[0.7654143838594661, 0.5599532746989624]"
joe biden,"[0.5043162228653149, 0.26334384814352657]"
boris johnson,"[0.32115594329334796, 0.5918141592920355]"
virus,"[0.5315405046480742, 0.17255297679112006]"
bill clinton,"[0.1203513229186536, 0.5337821746025341]"
marco rubio,"[-0.03749999999999998, 0.6540084388185652]"
big government,"[-0.06410256410256407, 0.5740259740259741]"
