covid-19,"[0.8014428584474971, 0.6394928691946817]"
russia,"[0.4161135326215079, 0.570290706210713]"
elon musk,"[0.5007024812130563, 0.23049522650504795]"
larry nassar,"[0.5702659485122012, -0.021652326748721012]"
the coronavirus pandemic,"[-0.03350230499134526, 0.6615556366241065]"
car,"[0.6983225049986964, -0.03580574370197165]"
obesity,"[-0.021384973069207523, 0.5701779377163207]"
abu sayyaf,"[0.5702659485122011, -0.021652326748721036]"
new york times,"[-0.02012007271809823, 0.8148431084695212]"
