donald trump,"[0.6040047067193508, 0.5394904075989231]"
covid-19,"[0.7936248817488235, 0.5892262846229884]"
twitter,"[-0.09734993311250643, 0.5451070512830671]"
wall street,"[0.5664230616504867, 0.16090252590475837]"
harvey weinstein,"[0.7484631367889923, 0.19598572249909124]"
nbc,"[-0.028938439264005463, 0.5714630769430153]"
maduro,"[-0.03249220280687729, 0.630016922543349]"
larry nassar,"[0.7615265382856916, 0.36246604616383576]"
justice samuel alito,"[-0.023416699476087467, 0.814843108469521]"
