none.none,"[0.7320048345344492, 0.6422176218121365]"
spencer rattler.none,"[0.5129107981220657, 0.5119047619047623]"
none.covid-19,"[0.6265746850629876, 0.5760340632603407]"
nawazuddin siddiqui.none,"[0.6406926406926405, 0.4605263157894739]"
juan guaidó.nicolás maduro,"[0.5165048543689321, 0.2743362831858408]"
