none.none,"[0.6248318501803773, 0.5467728400634685]"
covid-19.none,"[0.6301615684709876, 0.4180814873899238]"
donald trump.joe biden,"[0.659508975118776, 0.2543481257715116]"
donald trump.hillary clinton,"[-0.045339222016122574, 0.5995718237312491]"
china.taiwan,"[0.6829641335502542, -0.04670577750775183]"
