none.none.none,"[0.5220917473842561, 0.2085424957085105]"
none.donald trump.hillary clinton,"[0.5022873161688282, 0.2337476419880212]"
none.donald trump.north korea,"[0.6137368816788445, 0.13801158037961211]"
bernie sanders.hillary clinton.none,"[0.7648529270389179, 0.6827939854704674]"
none.donald trump.michael cohen,"[0.3653005118269647, 0.7539949596048321]"
none.donald trump.jared kushner,"[-0.021384973069207537, 0.5701779377163203]"
none.donald trump.tiktok,"[0.7027819284987277, -0.01756820922315766]"
