joe biden,"[0.5365137072200953, 0.4590745961894788]"
nancy pelosi,"[0.5056910188383834, 0.2764456517572147]"
hillary clinton,"[0.503748431276417, 0.3767515049423109]"
mike pompeo,"[0.8292963156229743, 0.2568707771522154]"
amber heard,"[-0.03535810151892133, 0.5147075657158426]"
john fetterman,"[0.5592056602575971, 0.3312031292432377]"
jay inslee,"[-0.02714959920700004, 0.5360603184617232]"
mary trump,"[0.9042248064222365, -0.01875977815147707]"
starbucks,"[-0.021384973069207527, 0.5701779377163209]"
dr. deborah birx,"[-0.021384973069207534, 0.5701779377163205]"
