none.none,"[0.638739700131774, 0.5506942079420901]"
covid-19.none,"[0.6042105990876292, 0.5188690283548286]"
russia.ukraine,"[0.5621517513460259, 0.4791536258305502]"
none.india,"[0.8817426566281009, -0.035805743701971655]"
