none.hillary clinton,"[0.6259490284209271, 0.1535143224676046]"
none.ukraine,"[0.5050788174012752, 0.8776354615149272]"
none.ted cruz,"[0.8872505666537813, -0.013652032977305282]"
ted cruz.none,"[0.9369191567850784, nan]"
maruti suzuki.none,"[-0.03978415966885738, 0.6204836822995432]"
lebron james.cleveland cavaliers,"[0.5702659485122009, -0.021652326748721043]"
aaron judge.none,"[-0.02862918339559248, 0.5652767597611373]"
stephen curry.none,"[0.5702659485122009, -0.021652326748721036]"
