none.covid-19,"[0.2616013766703379, 0.5959465208992355]"
nasa.none,"[-0.05108361853348123, 0.5317589905407226]"
none.elon musk,"[0.5635552769273744, 0.3959038958941285]"
robert mueller.donald trump,"[0.5715341754641081, 0.27107863906271246]"
beyoncé.none,"[0.6646032899566291, -0.029630973468423423]"
mark zuckerberg.none,"[-0.02636549988201387, 0.9042213069011947]"
ted cruz.donald trump,"[0.6238776945276413, 0.3000415598810611]"
romelu lukaku.none,"[-0.020120072718098226, 0.8148431084695213]"
