hillary clinton,"[0.5626294875575226, 0.4416416600151449]"
ted cruz,"[0.5142008682275483, 0.6099965177598755]"
protesters,"[-0.04338880019282678, 0.5994947317727743]"
british people,"[0.8956155812584965, -0.02239078763821683]"
boris johnson,"[0.5702659485122012, -0.021652326748721022]"
unvaccinated people,"[0.2788979562049555, 0.585365855435756]"
russian citizens,"[0.5654263720629514, -0.02898855178262242]"
federal workers,"[0.9699720303319204, -0.015015015015015015]"
john kasich,"[0.8148629450829784, -0.020371077711738024]"
