none.none,"[0.6590992807046484, 0.6033436784741198]"
donald trump.joe biden,"[0.5336596076558892, 0.04415082710427566]"
none.covid-19,"[0.737341772151899, 0.21153846153846148]"
donald trump.ted cruz,"[0.6238776945276413, -0.023687491569557448]"
none.india,"[0.5702659485122011, -0.021652326748721026]"
donald trump.michael flynn,"[-0.02012007271809823, 0.8148431084695213]"
