covid-19,"[0.6068277097790054, 0.5056253220656646]"
kim jong un,"[0.03425254432455816, 0.5213822329264963]"
kevin spacey,"[0.5804825626787907, 0.11530037325140007]"
william barr,"[0.8278008298755187, -0.033613445378151266]"
nicola sturgeon,"[-0.04357446703305951, 0.5589746567448712]"
the fire,"[0.6541666666666663, -0.037974683544303806]"
yahya jammeh,"[0.8148629450829784, -0.020371077711738024]"
