donald trump,"[0.5748109704254859, 0.503125268676454]"
80% of the world's population,"[0.6947282386595829, 0.6002587116915663]"
hillary clinton,"[0.7250179396825934, 0.6201540986482406]"
world population,"[0.5627394636015323, 0.48050682261208577]"
joe biden,"[0.6364637957750354, 0.5054532400908662]"
bill clinton,"[0.501201923076923, 0.30085261875761266]"
breonna taylor,"[0.6035031847133754, 0.4709677419354841]"
nfl,"[0.5326576576576585, 0.0649942987457241]"
walmart,"[0.6541666666666672, 0.30801687763713076]"
