alex jones,"[0.7283833902988872, 0.6176393582290722]"
ted cruz,"[0.6957489836390848, 0.4297570199940834]"
ron desantis,"[0.5925994362026076, 0.5097329942987758]"
dave hodges,"[0.567940528558205, 0.1962803177832121]"
chris christie,"[0.5563782888597159, -0.05130880537769623]"
herschel walker,"[0.5841683366733467, 0.32167562077043954]"
