covid-19.none,"[0.5533364172717233, 0.6288136261636941]"
donald trump.joe biden,"[0.40085937977620417, 0.6398800194358755]"
ted cruz.none,"[0.7027819284987274, -0.017568209223157667]"
donald trump.federal workers,"[0.7027819284987274, -0.01756820922315767]"
jamie spears.britney spears,"[-0.02203029320429377, 0.6635733584088876]"
none.migrants,"[0.570265948512201, -0.021652326748721043]"
bernie sanders.none,"[0.570265948512201, -0.02165232674872104]"
