none.none,"[0.6633523524122197, 0.5035285918901146]"
covid-19.none,"[0.5904655869248727, 0.25001803551179547]"
russia.ukraine,"[0.2879807676154078, 0.5523457620453991]"
donald trump.joe biden,"[0.5076137464985491, 0.29221943341656065]"
