xtream1101.none,"[0.6541666666666667, 0.3080168776371308]"
lori la bey.none,"[0.545205479452055, 0.4305555555555556]"
archive team.none,"[0.5743589743589745, 0.36103896103896116]"
xtream1101.libraries,"[0.655124653739612, 0.1949509116409537]"
none.ukraine,"[0.5110809875478023, 0.10676494298039475]"
