none.none,"[0.6890179324170451, 0.5740590816398811]"
donald trump.hillary clinton,"[0.20632603733301524, 0.5752047542677189]"
russia.ukraine,"[0.7431526994153312, 0.45507831868238474]"
donald trump.george floyd,"[0.11581018115641048, 0.8056321897415172]"
donald trump.michael flynn,"[0.2833107999721561, 0.6010596998764738]"
donald trump.tiktok,"[0.7027819284987273, -0.01756820922315766]"
iran.israel,"[-0.021384973069207527, 0.5701779377163206]"
