barack obama.none,"[0.120719611957498, 0.5287517625054501]"
none.ted cruz,"[0.5651734608586398, -0.01942718350500652]"
none.venezuela,"[0.04895833333333331, 0.7405063291139237]"
mark zuckerberg.none,"[0.5715341754641083, -0.029305798817590524]"
none.russia,"[0.5755243026984315, -0.0373707107775729]"
