none.donald trump.hillary clinton,"[0.5565145055850323, 0.5050131112590219]"
joe biden.donald trump.none,"[0.597511356191075, 0.15884102318141188]"
bernie sanders.hillary clinton.none,"[0.6292059335683402, 0.6827939854704677]"
none.donald trump.ted cruz,"[0.7019094086422776, 0.3808753251902491]"
michael cohen.donald trump.none,"[0.6067788139486056, -0.02570804518793042]"
ted cruz.donald trump.none,"[0.8278008298755191, 0.5652767597611376]"
none.donald trump.michael cohen,"[0.3653005118269647, 0.7539949596048321]"
ted cruz.none.none,"[0.4876543209876545, 0.7027283689263071]"
none.richard spencer.none,"[0.7540177231300165, -0.023710533320906668]"
none.donald trump.canada,"[0.6238776945276411, -0.023687491569557458]"
none.joe biden.tara reade,"[1.0, -0.01234567901234568]"
tara reade.joe biden.none,"[0.9483026315397408, -0.01567434701907997]"
