none.none.none,"[0.6522176283636517, 0.4238215488063819]"
none.donald trump.hillary clinton,"[0.6382949255516751, 0.16493735446649585]"
none.donald trump.joe biden,"[0.1782661768443792, 0.5065403918724926]"
joe biden.none.none,"[0.5814565541575748, 0.19552015688543686]"
none.donald trump.north korea,"[0.7835669663451645, 0.2955877962350621]"
none.donald trump.ted cruz,"[0.866091409302905, 0.5701779377163206]"
hillary clinton.bernie sanders.none,"[-0.01735264020984512, 1.0]"
heather heyer.james alex fields jr..heather heyer,"[-0.020120072718098223, 0.8148431084695213]"
