joe biden.donald trump.none,"[0.3217738018219893, 0.5634049016833662]"
meghan markle.none.none,"[-0.043574467033059526, 0.5589746567448712]"
none.donald trump.hillary clinton,"[-0.030429030972509215, 0.5701779377163206]"
