donald trump,"[0.538058164972333, 0.36837533205821316]"
covid-19,"[0.8334138514251521, 0.7090275453420121]"
russia,"[0.580550456816915, 0.5728114402470923]"
inflation,"[0.4698298605696823, 0.5603355916491264]"
hillary clinton,"[-0.05793742757821552, 0.5346239779952016]"
yahya jammeh,"[0.5743589743589745, 0.1480519480519481]"
