covid-19,"[0.7712431653690006, 0.5889864095363968]"
hillary clinton,"[0.5053067615734748, 0.10997671157647804]"
jeffrey epstein,"[0.1973110397587404, 0.852379202640683]"
ncaa,"[0.6983225049986964, -0.03580574370197165]"
the virus,"[0.5654263720629514, -0.028988551782622433]"
johnson & johnson,"[0.5029571828201786, -0.0291941711762838]"
united airlines,"[0.5702659485122011, -0.021652326748721036]"
john kelly,"[0.570265948512201, -0.021652326748721036]"
kevin spacey,"[0.5702659485122011, -0.02165232674872104]"
john bolton,"[0.5702659485122009, -0.021652326748721043]"
