joe biden.donald trump,"[0.5265664325798883, 0.3634379039550094]"
nancy pelosi.donald trump,"[0.35670191723271044, 0.5417668177925159]"
bernie sanders.hillary clinton,"[0.8274449715481099, 0.7374024560760983]"
none.kevin mccarthy,"[-0.03146083989569677, 0.5487456284497818]"
none.sean spicer,"[0.5265613649228039, -0.02699807729914607]"
none.nra,"[-0.02714959920700004, 0.5360603184617229]"
nancy pelosi.republican party,"[0.5197921247168583, -0.03374068042412151]"
none.john kasich,"[0.5654263720629515, -0.023687491569557455]"
none.washington,"[0.8933418124639813, -0.01664587231463074]"
