donald trump.hillary clinton,"[0.6094123332595889, 0.2995911275774827]"
donald trump.joe biden,"[0.5421496438355429, 0.6116825541356677]"
donald trump.north korea,"[0.7612624038136347, 0.2311493207684956]"
donald trump.ted cruz,"[0.39293574059965775, 0.5947916037217583]"
donald trump.jared kushner,"[-0.02644018577762377, 0.7050480775921938]"
donald trump.george floyd,"[-0.017007589799775475, 0.8299447238726236]"
brett kavanaugh.christine blasey ford,"[0.7027819284987274, -0.017568209223157667]"
james alex fields jr..heather heyer,"[0.36530051182696477, 0.7539949596048321]"
bernie sanders.hillary clinton,"[-0.021384973069207527, 0.7027283689263071]"
