covid-19,"[0.7852569844956835, 0.589020903402179]"
nicolás maduro,"[0.576668746011993, -0.04086883957716921]"
nawaz sharif,"[0.6467376500694595, -0.029691491637570358]"
draymond green,"[0.684525722683045, 0.08864060261262409]"
rishi sunak,"[-0.02138497306920754, 0.5701779377163206]"
