none.none,"[0.6036144811329729, 0.4933850976704112]"
covid-19.none,"[0.37216810390200106, 0.5408237598343605]"
donald trump.north korea,"[-0.033195020746887974, 0.6554621848739499]"
kim jong-un.north korea,"[0.5197921247168584, 0.24293289905367493]"
