joe biden.none,"[0.543493825257922, 0.3701763089729004]"
hillary clinton.none,"[0.5714356073278716, 0.2577084830561255]"
india.none,"[-0.02883194041644336, 0.5027885035915545]"
mukesh ambani.none,"[-0.021384973069207527, 0.5701779377163207]"
arvind kejriwal.none,"[-0.0333200079946704, 0.5196064785314716]"
none.ted cruz,"[-0.02339541354478655, 0.893328480885183]"
conor mcgregor.none,"[0.9042248064222367, -0.018759778151477068]"
none.huawei,"[-0.020120072718098226, 0.8148431084695212]"
pfizer.none,"[0.6238776945276411, -0.023687491569557448]"
