covid-19,"[0.6744435892588109, 0.6484135747032498]"
scott morrison,"[-0.05432569198599934, 0.6499798027386766]"
huawei,"[-0.016441873849030345, 0.8933284808851831]"
mueller,"[0.623877694527641, -0.023687491569557458]"
qatar,"[-0.02138497306920754, 0.5701779377163206]"
